year,mmr,,,,,,,
1997-98,46,,,,,,,
1999-01,202,,,,,,,
2001-03,172,,,,,,,
2004-06,160,,,,,,,
2007-09,148,,,,,,,
2010-12,122,,,,,,,
2011-13,112,,,,,,,
